Sector,Project Name,Type,URL,Date,File Size
Doprava,Stavba úseku R2 Rožňava – Jablonov nad Turňou (tunel Soroška),analýza,https://www.mfsr.sk/files/archiv/42/r2_soroska_hodnotenieMFSR.pdf,29.12.2019,503 kB
Doprava,"ŽSR, Elektrifikácia trate Haniska – Veľká Ida – Moldava nad Bodvou mesto",analýza,https://www.mfsr.sk/files/archiv/28/stanovisko_Haniska_UHP.pdf,23.8.2019,552 kB
Doprava,"Modernizácia cesty I/68, Mníšek nad Popradom – Prešov",analýza,https://www.mfsr.sk/files/archiv/52/stanovisko_I68_vfm_20190606.pdf,12.6.2019,197 kB
Doprava,Modernizácia elektronickej komunikačnej siete ŽSR,analýza,https://www.mfsr.sk/files/archiv/67/Telematika_UHP_hodnotenie_20190514_stretnutie.pdf,15.5.2019,276 kB
Doprava,"ŽSR, dostavba zriaďovacej stanice Žilina-Teplička a nadväzujúcej železničnej infraštruktúry v uzle Žilina",analýza,https://www.mfsr.sk/files/archiv/43/Hodnotenie_UzolZA_20190305.pdf,7.3.2019,296 kB
Doprava,Modernizácia cesty I/75 Galanta – Nové Zámky,analýza,https://www.mfsr.sk/files/archiv/82/I-75Galanta-NoveZamky.pdf,29.1.2019,861 kB
Doprava,Vybudovanie infraštruktúry na kontrolu a prípravu vozového parku železničnej osobnej dopravy - Nové Zámky,analýza,https://www.mfsr.sk/files/archiv/92/THU-NZ-ZSSK_hodnotenie_20190128.pdf,28.1.2019,292 kB
Doprava,"R2 Mýtna - Lovinobaňa, Tomášovce",analýza,https://www.mfsr.sk/files/archiv/uhp/3370/76/r2_mytna_vfm_20180216.pdf,16.2.2018,284 kB
Doprava,"R4, Severný obchvat Prešova",analýza,https://www.mfsr.sk/files/archiv/uhp/3370/76/R4_Presov_VfM_stanovisko_20171220.pdf,21.12.2017,775 kB
Doprava,R3 Tvrdošín – Nižná nad Oravou,analýza,https://www.mfsr.sk/files/archiv/uhp/3370/76/r3_tvrdosin_nizna_vfm_170620_clean.pdf,20.06.2017,930 kB
Doprava,Hodnota za peniaze v nákupe rýchlikových vozňov ZSSK,analýza,https://www.mfsr.sk/files/archiv/uhp/3370/76/Rychlikove-vozne-ZSSK_20170505_ed.pdf,05.05.2017,216 kB
Informatizacia,Infraštruktúra pre elektronickú fakturáciu,hodnotenie,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia/informatizacia/hodnotenie_iinfrastruktura-efaktura.pdf,12.9.2025,181 kB
Informatizacia,Infraštruktúra pre elektronickú fakturáciu,štúdia uskutočniteľnosti,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia/informatizacia/i-02_projektovy_zamer_projekt_efa_public.pdf,,"2,26 MB"
Informatizacia,Distribuovaný informačný ekosystém pre udržateľný rast a prax špecialistov informačných a komunikačných technológií (rozvoj NetAcad),hodnotenie,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia/informatizacia/hodnotenie_netacad.pdf,20.8.2025,185 kB
Informatizacia,Informačný systém FARMÁR (aktualizácia),hodnotenie,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia/informatizacia/is_farmar_aktualizacia-hodnotenia.pdf,20.8.2025,152 kB
Informatizacia,SLA zmluva pre Jednotný informačný systém v cestnej doprave (JISCD),hodnotenie,https://www.mfsr.sk/files/archiv/54/Hodnotenie_JISCD_SLA.pdf,29.7.2025,164 kB
Informatizacia,Centrálna integračná platforma MZ SR,hodnotenie,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia/informatizacia/hodnotenie_cip_20250709.pdf,9.7.2025,216 kB
Informatizacia,Modernizácia Platformy pre rozvoj a riešenie prioritných životných situácií,hodnotenie,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia/informatizacia/slovensko-sk-3-0_hodnotenie_uhp_03072025.pdf,3.7.2025,161 kB
Informatizacia,Národný integrovaný cestovný lístok (aktualizácia),hodnotenie,https://www.mfsr.sk/files/archiv/28/Aktualizacia-hodnotenia_NICL.pdf,13.6.2025,131 kB
Informatizacia,Kybernetická bezpečnosť v samospráve do 6 000 obyvateľov,hodnotenie,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia/informatizacia/hodnotenie_kyberneticka-bezpecnost-samosprave-do-6-000-obyvatelov.pdf,4.6.2025,255 kB
Informatizacia,Vývoj a konštrukcia superpočítača pre národné superpočítačové centrum - lokalita Technická univerzita Košice,hodnotenie,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia/informatizacia/aktualizacia-hodnotenia_superpocitac_tuke.pdf,14.5.2025,140 kB
Informatizacia,Digitálna infraštruktúra škôl – časť Národný centrálny uzol (NCU),hodnotenie,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia/informatizacia/hodnotenie_narodny_centralny_uzol_msvvam.pdf,7.5.2025,178 kB
Informatizacia,Zabezpečenie výpočtovej techniky na lokalitách v rámci celej SR (aktualizácia),hodnotenie,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia/informatizacia/ikt_ramcova_zmluva_aktualizacia_uhp.pdf,6.5.2025,182 kB
Informatizacia,Digitálna infraštruktúra škôl (aktualizácia),hodnotenie,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/it/digi_infra_skoly_aktualizacia_uhp.pdf,4.4.2025,224 kB
Informatizacia,"Dátové centrum pre vedu, výskum a inovácie",hodnotenie,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/it/datove-centrum-vedu-vyskum-inovacie_hodnotenie-uhp-2025.pdf,23.1.2025,203 kB
Informatizacia,Obnova sieťovej infraštruktúry v pôsobnosti Ministerstva spravodlivosti SR,hodnotenie,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/it/sietova_infra_hodnotenie_uhp.pdf,16.1.2025,207 kB
Informatizacia,Národný cestovný lístok (aktualizácia),hodnotenie,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/it/narodny_cestovny_listok_hodnotenie_uhp.pdf,20.12.2024,149 kB
Informatizacia,Vývoj a konštrukcia superpočítača pre národné superpočítačové centrum (aktualizácia),hodnotenie,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/it/aktualizacia-hodnotenia_superpocitac_sav.pdf,12.12.2024,157 kB
Informatizacia,Rozpočtový informačný systém (RIS),hodnotenie,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/it/ris_hodnotenie_uhp.pdf,3.12.2024,261 kB
Informatizacia,Rozpočtový informačný systém (RIS),štúdia uskutočniteľnosti,https://www.mfsr.sk/files/archiv/1/RIS_SU-sprava.pdf,,
Informatizacia,Centrálna rámcová dohoda SAP - dodatok č. 1 (aktualizácia),hodnotenie,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/it/hodnotenie_dodatok_sap.pdf,20.11.2024,141 kB
Informatizacia,Informačný systém FARMÁR,hodnotenie,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/it/is-farmar_hodnotenie_uhp.pdf,14.11.2024,171 kB
Informatizacia,Obnova desktopových licencií pre MPSVaR SR,hodnotenie,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/it/hodnotenie_msft_mpsvar.pdf,24.10.2024,152 kB
