Project_Name,First_File_Document_ID,First_File_URL,First_File_Type,Total_Documents_in_Project,Other_Documents_Count,Other_Document_Types,Other_Document_IDs,Sector
Digitalizácia a modernizácia elektronických služieb štátnych archívov v európskom kontexte,2.058,https://www.mfsr.sk/files/archiv/92/Hodnotenie_UHP_digitalizaciaarchivov_20221110.pdf,analýza,1,0,None,None,Informatizacia
Digitálna infraštruktúra škôl,2.061,https://www.mfsr.sk/files/archiv/91/Digitalna_infrastruktura_hodnotenie_UHP_20230118.pdf,analýza,1,0,None,None,Informatizacia
Digitálna infraštruktúra škôl (aktualizácia),2.092,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/it/digi_infra_skoly_aktualizacia_uhp.pdf,hodnotenie,1,0,None,None,Informatizacia
Digitálna infraštruktúra škôl – časť Národný centrálny uzol (NCU),2.094,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia/informatizacia/hodnotenie_narodny_centralny_uzol_msvvam.pdf,hodnotenie,1,0,None,None,Informatizacia
Digitálne vybavenie škôl,2.06,https://www.mfsr.sk/files/archiv/22/Hodnotenie_UHP_DigVybavenieSkol_20230118.pdf,analýza,1,0,None,None,Informatizacia
Digitálny ekosystém inklúzie,2.022,https://www.mfsr.sk/files/archiv/83/DEI_UHP_hodnotenie_20190220_1030.pdf,analýza,1,0,None,None,Informatizacia
Distribuovaný informačný ekosystém pre udržateľný rast a prax špecialistov informačných a komunikačných technológií (rozvoj NetAcad),2.103,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia/informatizacia/hodnotenie_netacad.pdf,hodnotenie,1,0,None,None,Informatizacia
Dopravný uzol Bratislava,1.07,https://www.mfsr.sk/files/archiv/63/Hodnotenie_uzol-BA_20221103.pdf,analýza,1,0,None,None,Doprava
Dostavba úseku D1 Lietavská Lúčka – Dubná Skala (tunel Višňové),1.016,https://www.mfsr.sk/files/archiv/65/stanovisko_visnove_mfsr_web.pdf,analýza,4,3,"Odhad nákladov na dokončenie D1 - Lietavská Lúčka ..., analýza","1.018, 1.019, 1.135",Doprava
Dynamický nákupný systém cloudových služieb,2.056,https://www.mfsr.sk/files/archiv/96/DNS_Cloud_MIRRI_SR_hodnotenie_UHP_20221005.pdf,analýza,1,0,None,None,Informatizacia
Dátová integrácia: Sprístupnenie údajovej základne VS,2.003,https://www.mfsr.sk/files/archiv/uhp/3370/76/Datova_integracia_stanovisko_UHP_20171211.pdf,analýza,1,0,None,None,Informatizacia
"Dátové centrum pre vedu, výskum a inovácie",2.091,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/it/datove-centrum-vedu-vyskum-inovacie_hodnotenie-uhp-2025.pdf,hodnotenie,1,0,None,None,Informatizacia
Elektrifikácia trate Bánovce nad Ondavou – Humenné (aktualizácia),1.08,https://www.mfsr.sk/files/archiv/29/Hodnotenie_ELBAHU_20230419.pdf,analýza,1,0,None,None,Doprava
Elektrifikácia trate Bánovce nad Ondavou – Humenné (aktualizácia),1.065,https://www.mfsr.sk/files/archiv/12/Hodnotenie_Elektrifikacia-BAHU_20220713.pdf,analýza,1,0,None,None,Doprava
Elektronický výber mýta,1.031,https://www.mfsr.sk/files/archiv/43/Myto_UHP_hodnotenie_200909_web.pdf,analýza,1,0,None,None,Doprava
Elektronizácia služieb regionálneho a vysokého školstva SR,2.027,https://www.mfsr.sk/files/archiv/66/MS_UHP_hodnotenie_190424.pdf,analýza,1,0,None,None,Informatizacia
FN Žilina – Výstavba nového pavilónu urgentnej medicíny,3.024,https://www.mfsr.sk/files/archiv/80/Hodnotenie_FN-Zilina.pdf,analýza,1,0,None,None,Budovy
Hodnota za peniaze projektu ESKO 2,2.11,https://www.mfsr.sk/files/archiv/uhp/3370/76/Hodnota-za-peniaze-projektu-ESKO-2_stanovisko-UHP.pdf,stanovisko,1,0,None,None,Informatizacia
Hodnota za peniaze v nákupe rýchlikových vozňov ZSSK,1.001,https://www.mfsr.sk/files/archiv/uhp/3370/76/Rychlikove-vozne-ZSSK_20170505_ed.pdf,analýza,1,0,None,None,Doprava
Hodnotenie nákupu viacúčelových taktických lietadiel,4.019,https://www.mfsr.sk/files/archiv/uhp/3370/76/Hodnotenie-nakupu-viacucelovych-taktickych-lietadiel.pdf,stanovisko,1,0,None,None,Obrana
Hospodárstvo: Priemyselný park Valaliky,5.004,https://www.mfsr.sk/files/archiv/24/Hodnotenie_Valaliky_211008.pdf,analýza,1,0,None,None,Ostatne
Hospodárstvo: Rozvoj strategického územia Valaliky (aktualizácia),5.007,https://www.mfsr.sk/files/archiv/16/Hodnotenie_Rozvoj-strategickeho-uzemia-Valaliky_20230130.pdf,analýza,2,1,štúdia uskutočniteľnosti,5.022,Ostatne
Hospodárstvo: ŠURANY INDUSTRIAL PARK,5.01,https://www.mfsr.sk/files/archiv/10/Hodnotenie_PP-Surany_20240528.pdf,analýza,1,0,None,None,Ostatne
"I/15 Stropkov, preložka cesty (aktualizácia)",1.107,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/doprava/aktualizacia-hodnotenia_i15-stropkov-prelozka.pdf,hodnotenie,1,0,None,None,Doprava
I/15 Vranov nad Topľou - Stročín,1.053,https://www.mfsr.sk/files/archiv/48/hodnotenie_vfm_I15_Strocin_Vranov_20220218.pdf,analýza,1,0,None,None,Doprava
"I/51, I/61 Hranica SR/ČR – Holíč – Senica – Trnava – Hrnčiarovce nad Parnou",1.052,https://www.mfsr.sk/files/archiv/10/hodnotenie_SSC_I51_CZ_TT_20220217.pdf,analýza,1,0,None,None,Doprava
"I/51, I/76 Nitra – Kalná nad Hronom – Levice (Šarovce)",1.048,https://www.mfsr.sk/files/archiv/54/hodnotenie_vfm_I51_I76_20211118_clean.pdf,analýza,2,1,Dátová príloha: Úpravy v CBA pre obchvat Veľkého L...,1.047,Doprava
"I/61 Trenčín, preložka (aktualizácia)",1.088,https://www.mfsr.sk/files/archiv/78/Hodnotenie_UHP_Trencin_prelozka.pdf,analýza,1,0,None,None,Doprava
I/64 Žilina – Topoľčany,1.034,https://www.mfsr.sk/files/archiv/34/stanovisko_vfm_I64_20201118.pdf,analýza,1,0,None,None,Doprava
I/68 Sabinov preložka cesty (aktualizácia),1.092,https://www.mfsr.sk/files/archiv/39/Hodnotenie-pred-podpisom-I68-Sabinov-prelozka-cesty.pdf,analýza,1,0,None,None,Doprava
IT platforma lepšej regulácie podľa stratégie RIA 2020,2.006,https://www.mfsr.sk/files/archiv/uhp/3370/76/RIA_stanovisko_UHP_2018-04-18.pdf,analýza,1,0,None,None,Informatizacia
IT platforma lepšej regulácie podľa stratégie RIA 2020 - 2. fáza,2.028,https://www.mfsr.sk/files/archiv/10/RIA_hodnotenie_UHP_2019-04-24_bez_TC.pdf,analýza,1,0,None,None,Informatizacia
"IT projekty Ministerstva vnútra SR (Centrálne komponenty verejnej správy, Riadenie procesov a dát pre OÚ, PZ a HaZZ, Digitálne pracovné prostredie zamestnanca MV SR)",2.012,https://www.mfsr.sk/files/archiv/uhp/3370/76/Stanovisko_MVSR_projekty.pdf,analýza,1,0,None,None,Informatizacia
"Implementácia GSM-R do siete ŽSR, úsek Varín – Košice – Čierna nad Tisou",1.058,https://www.mfsr.sk/files/archiv/20/Hodnotenie-ZSR-GSM-R-Varin-KE-CnT_20220518.pdf,analýza,1,0,None,None,Doprava
Implementácia GSM-R na trati Varín – Košice – Čierna nad Tisou (aktualizácia),1.076,https://www.mfsr.sk/files/archiv/19/Hodnotenie_GSM-R_Varin-KE-CnT_20230301.pdf,analýza,2,1,štúdia uskutočniteľnosti,1.145,Doprava
Implementácia TSI TAF/TAP na ŽSR,1.008,https://www.mfsr.sk/files/archiv/27/Stanovisko_TSI_20181207_MIN.pdf,stanovisko,1,0,None,None,Doprava
Informačný monitorovací systém pre programové obdobie na roky 2021-2027 (ITMS21+),2.057,https://www.mfsr.sk/files/archiv/59/Hodnotenie_UHP_ITMS21_20221026.pdf,analýza,1,0,None,None,Informatizacia
Informačný monitorovací systém pre programové obdobie na roky 2021-2027 (ITMS21+) - aktualizácia,2.067,https://www.mfsr.sk/files/archiv/31/Hodnotenie_UHP_ITMS21_akt.pdf,analýza,1,0,None,None,Informatizacia
Informačný systém FARMÁR,2.085,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/it/is-farmar_hodnotenie_uhp.pdf,hodnotenie,1,0,None,None,Informatizacia
Informačný systém FARMÁR (aktualizácia),2.102,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia/informatizacia/is_farmar_aktualizacia-hodnotenia.pdf,hodnotenie,1,0,None,None,Informatizacia
Informačný systém elektronickej fakturácie,2.016,https://www.mfsr.sk/files/archiv/uhp/3370/76/efaktura_UHP_hodnotenie_20181009_titulka.pdf,analýza,1,0,None,None,Informatizacia
Informačný systém komplexného vybavenia cestujúcich,2.04,https://www.mfsr.sk/files/archiv/37/KVC_UHP_hodnotenie_20190812_2.pdf,analýza,1,0,None,None,Informatizacia
Informačný systém výstavby,2.005,https://www.mfsr.sk/files/archiv/uhp/3370/76/ISV_stanovisko_UHP_20180228.pdf,analýza,1,0,None,None,Informatizacia
Informačný systém  Obchodného registra SR,2.002,https://www.mfsr.sk/files/archiv/uhp/3370/76/stanovisko_ORSR_UHP_170512.pdf,analýza,1,0,None,None,Informatizacia
Infraštruktúra pre elektronickú fakturáciu,2.104,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia/informatizacia/hodnotenie_iinfrastruktura-efaktura.pdf,hodnotenie,2,1,štúdia uskutočniteľnosti,2.111,Informatizacia
Inklúzia prostredníctvom komplexného elektronického riešenia problematiky parkovania osôb s ťažkým zdravotným postihnutím,2.013,https://www.mfsr.sk/files/archiv/uhp/3370/76/einkluzia_UHP_hodnotenie_20181010.pdf,analýza,1,0,None,None,Informatizacia
Integrovaný informačný systém Úradu verejného zdravotníctva,2.015,https://www.mfsr.sk/files/archiv/uhp/3370/76/IS_UVZ_UHP_hodnotenie_20181010.pdf,analýza,1,0,None,None,Informatizacia
Jednotný informačný systém štatistických údajov,2.03,https://www.mfsr.sk/files/archiv/34/JISSU_UHP_hodnotenie_20190611.pdf,analýza,1,0,None,None,Informatizacia
Jednotný prístup k priestorovým údajom a službám,2.014,https://www.mfsr.sk/files/archiv/uhp/3370/76/JPPUS_UHP_hodnotenie_20181010_final.pdf,analýza,1,0,None,None,Informatizacia
Komplexná rekonštrukcia historickej budovy Slovenského národného divadla,3.009,https://www.mfsr.sk/files/archiv/91/Hodnotenie_SND_FINAL.pdf,analýza,2,1,štúdia uskutočniteľnosti,3.037,Budovy
Komplexná služba spoplatnenia cestnej infraštruktúry,1.022,https://www.mfsr.sk/files/archiv/7/Myto_UHP_hodnotenie_20200419_web.pdf,analýza,2,1,Dodatočné poklady od Národnej diaľničnej spoločnos...,1.14,Doprava
