Project_Name,First_File_Document_ID,First_File_URL,First_File_Type,Total_Documents_in_Project,Other_Documents_Count,Other_Document_Types,Other_Document_IDs,Sector
"Nákup licencií pre operačný systém, kancelársky balík a prístup používateľov na server – MO SR",2.05,https://www.mfsr.sk/files/archiv/61/microsoft_MOSR_hodnotenie_UHP_20210922_1300.pdf,analýza,4,3,"Doplnenie štúdie uskutočniteľnosti, analýza, štúdia uskutočniteľnosti","2.047, 2.048, 2.049",Informatizacia
"Nákup licencií pre operačný systém, kancelársky balík a prístup používateľov na server – MV SR",2.051,https://www.mfsr.sk/files/archiv/94/microsoft_MVSR_hodnotenie_UHP_20211005.pdf,analýza,1,0,None,None,Informatizacia
Nákup lôžkových vozňov (aktualizácia),1.109,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/doprava/aktualizacia-hodnotenia-zssk-lozkove-vozne_20250303.pdf,hodnotenie,2,1,štúdia uskutočniteľnosti,1.138,Doprava
Národné kultúrne a kongresové centrum,5.005,https://www.mfsr.sk/files/archiv/29/Hodnotenie_NKKC_211214.pdf,analýza,1,0,None,None,Ostatne
Národný cestovný lístok (aktualizácia),2.089,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/it/narodny_cestovny_listok_hodnotenie_uhp.pdf,hodnotenie,1,0,None,None,Informatizacia
Národný integrovaný cestovný lístok,2.073,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/it/narodny_cestovny_listok_hodnotenie_uhp_final.pdf,hodnotenie,1,0,None,None,Informatizacia
Národný integrovaný cestovný lístok (aktualizácia),2.098,https://www.mfsr.sk/files/archiv/28/Aktualizacia-hodnotenia_NICL.pdf,hodnotenie,1,0,None,None,Informatizacia
Národný plán širokopásmového pripojenia,2.065,https://www.mfsr.sk/files/archiv/37/Hodnotenie_UHP_UFB.pdf,analýza,1,0,None,None,Informatizacia
Národný ústav detských chorôb - koncepcia rozvoja na najbližších 15 rokov,3.013,https://www.mfsr.sk/files/archiv/78/Hodnotenie_NUDCH_20230203.pdf,analýza,1,0,None,None,Budovy
Obmena hasičských cisternových striekačiek CAS 30,5.015,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia/ostatne/hodnotenie_hasicskych_striekaciek.pdf,hodnotenie,2,1,štúdia uskutočniteľnosti,5.018,Ostatne
"Obmena rádiolokačnej techniky VzS OS SR (stredný, malý a blízky dosah)",4.003,https://www.mfsr.sk/files/archiv/15/Aktualizaciahodnotenia3DRadary_20210324.pdf,aktualizácia,2,1,analýza,4.002,Obrana
Obnova HW vybavenia obcí zapojených do IS DCOM (ako súčasť projektu DCOM+),2.052,https://www.mfsr.sk/files/archiv/76/Hodnotenie_UHP_ObnovaHW_20220916.pdf,analýza,1,0,None,None,Informatizacia
Obnova HW vybavenia obcí zapojených do IS DCOM (ako súčasť projektu DCOM+) – aktualizácia,2.064,https://www.mfsr.sk/files/archiv/14/Hodnotenie_UHP_DeusHWAktualizacia_20230301.pdf,analýza,1,0,None,None,Informatizacia
Obnova areálu Rastislavova UNLP,3.019,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenie-investicnych-projektov/unlp_rastislavova_hodnotenie_uhp.pdf,analýza,1,0,None,None,Budovy
Obnova a rozvoj Kúpeľov Sliač,3.015,https://www.mfsr.sk/files/archiv/55/Hodnotenie_Kupele_Sliac_UHP.pdf,analýza,2,1,štúdia uskutočniteľnosti,3.036,Budovy
Obnova desktopových licencií pre MPSVaR SR,2.084,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/it/hodnotenie_msft_mpsvar.pdf,hodnotenie,1,0,None,None,Informatizacia
Obnova desktopových licencií pre kapitolu Ministerstva financií Slovenskej republiky,2.078,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/it/hodnotenie_uhp_mf_licencie.pdf,hodnotenie,1,0,None,None,Informatizacia
Obnova desktopových licencií pre kapitolu Ministerstva vnútra Slovenskej republiky,2.079,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/it/hodnotenie_uhp_mv_msft.pdf,hodnotenie,1,0,None,None,Informatizacia
Obnova sieťovej infraštruktúry v pôsobnosti Ministerstva spravodlivosti SR,2.09,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/it/sietova_infra_hodnotenie_uhp.pdf,hodnotenie,1,0,None,None,Informatizacia
Obstaranie Bojových obrnených vozidiel 8x8,4.005,https://www.mfsr.sk/files/archiv/2/Hodnotenie_BOV8x8_20210908.pdf,analýza,1,0,None,None,Obrana
Obstaranie Bojových obrnených vozidiel 8x8 (aktualizácia),4.007,https://www.mfsr.sk/files/archiv/77/Hodnotenie_BOV8x8_20220330.pdf,analýza,2,1,štúdia uskutočniteľnosti,4.017,Obrana
Obstaranie Pásových bojových obrnených vozidiel a Pásových obrnených vozidiel,4.008,https://www.mfsr.sk/files/archiv/56/Hodnotenie_PBOV_a_POV_20220628.pdf,analýza,2,1,štúdia uskutočniteľnosti,4.02,Obrana
Obstaranie Pásových bojových obrnených vozidiel a Pásových obrnených vozidiel (aktualizácia),4.01,https://www.mfsr.sk/files/archiv/86/MO_Aktualizacia_PBOV_20221212.pdf,analýza,1,0,None,None,Obrana
Obstaranie Pásových bojových obrnených vozidiel a Pásových obrnených vozidiel (projektový zámer),4.006,https://www.mfsr.sk/files/archiv/65/Hodnotenie_PBOV_20210908.pdf,analýza,1,0,None,None,Obrana
Obstaranie batériových elektrických jednotiek pre regionálnu dopravu,1.111,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/doprava/hodnotenie_hybridne-vozidla.pdf,hodnotenie,2,1,štúdia uskutočniteľnosti,1.132,Doprava
"Obstaranie útočnej pušky 5,56 mm s príslušenstvom",4.014,https://www.mfsr.sk/files/archiv/48/UHP_Hodnotenie_Utocne-pusky.pdf,hodnotenie,2,1,štúdia uskutočniteľnosti,4.018,Obrana
Obstarávanie stavby na leteckej základni Sliač,4.012,https://www.mfsr.sk/files/archiv/51/LZ-Sliac_hodnotenie_UHP.pdf,analýza,2,1,štúdia uskutočniteľnosti,4.021,Obrana
Online procesy eZdravia,2.018,https://www.mfsr.sk/files/archiv/17/OPE_UHP_hodnotenie_20181206.pdf,analýza,1,0,None,None,Informatizacia
Optimalizácia priestorového zabezpečenia v rezorte zdravotníctva,3.034,https://www.mfsr.sk/files/archiv/83/Hodnotenie_Najom_MZSR_20250702.pdf,hodnotenie,1,0,None,None,Budovy
Optimalizácia procesov riadenia a prevádzky Zboru väzenskej a justičnej stráže,2.017,https://www.mfsr.sk/files/archiv/71/ZVJS_UHP_hodnotenie_181210.pdf,analýza,1,0,None,None,Informatizacia
Optimalizácia procesov riadenia a prevádzky Zboru väzenskej a justičnej stráže (aktualizácia),2.062,https://www.mfsr.sk/files/archiv/47/Hodnotenie_UHP_ZVJSaktualizacia_20230209.pdf,analýza,1,0,None,None,Informatizacia
Pamiatkový informačný systém,2.023,https://www.mfsr.sk/files/archiv/4/PAMIS_UHP_hodnotenie_20190220.pdf,analýza,1,0,None,None,Informatizacia
Plán rozvoja Leteckého útvaru MV SR pre oblasť vrtuľníkovej techniky,5.014,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia/ostatne/hodnotenie_plan-rozvoja-leteckeho-utvaru-mvsr-vyhladom-do-roku-2031-oblast-vrtulnikove.pdf,hodnotenie,2,1,štúdia uskutočniteľnosti,5.016,Ostatne
"Pokračovanie obstarávania licencií pre operačný systém, kancelársky balík a prístup používateľov na server na ďalšie obdobie",2.074,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/it/dns_microsoft_hodnotenie_uhp.pdf,hodnotenie,2,1,štúdia uskutočniteľnosti,2.106,Informatizacia
"Posilnenie prevencie, zvýšenie rýchlosti detekcie a riešenia incidentov (akt.)",2.07,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/it/hodnotenie_uhp_ewsaktualizacia.pdf,analýza,1,0,None,None,Informatizacia
"Posilnenie preventívnych opatrení, zvýšenie rýchlosti detekcie a riešenia incidentov",2.068,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/it/hodnotenie_uhp_ews.pdf,analýza,1,0,None,None,Informatizacia
Poskytovanie mýtnych služieb – opakovanie verejného obstarávania,1.064,https://www.mfsr.sk/files/archiv/84/hodnotenie_mytnesluzby_07072022.pdf,analýza,1,0,None,None,Doprava
Preložka cesty I/61 v Trenčíne,1.074,https://www.mfsr.sk/files/archiv/40/SSC_prelozka_I61_Trencin_20230210.pdf,analýza,1,0,None,None,Doprava
Prenájom elektrických rušňov do diaľkovej dopravy (aktualizácia),1.104,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/doprava/hodnotenie-zssk-prenajom-rusnov_aktualizacia.pdf,hodnotenie,2,1,Aktualizovaná štúdia,1.128,Doprava
"Prenájom priestorov pre Ministerstvo školstva, výskumu, vývoja a mládeže SR",3.026,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/budovy/hodnotenie_prenajom-priestorov-msvvam.pdf,analýza,1,0,None,None,Budovy
Prevádzka služby eKolok na obdobie 10 rokov,2.069,https://www.mfsr.sk/files/archiv/88/eKolok_MF_SR_hodnotenie_UHP.pdf,analýza,1,0,None,None,Informatizacia
R1 Banská Bystrica – Slovenská Ľupča (aktualizácia),1.077,https://www.mfsr.sk/files/archiv/52/R1-BB-Slovenska-Lupca_Aktualizacia_20230302.pdf,analýza,1,0,None,None,Doprava
R1 Banská Bystrica – Slovenská Ľupča (aktualizácia pred podpisom zmluvy),1.089,https://www.mfsr.sk/files/archiv/61/Hodnotenie_BB_SL_R1_akt_pred-podpisom.pdf,analýza,1,0,None,None,Doprava
"R2 Mýtna - Lovinobaňa, Tomášovce",1.006,https://www.mfsr.sk/files/archiv/uhp/3370/76/r2_mytna_vfm_20180216.pdf,analýza,1,0,None,None,Doprava
R2 Zvolen západ – Zvolen východ,1.062,https://www.mfsr.sk/files/archiv/47/Hodnotenie_NDS_R2_Zvolen_20220622.pdf,analýza,1,0,None,None,Doprava
R2 Šaca – Košické Oľšany - II. etapa (Košice-Juh – Košické Oľšany),1.044,https://www.mfsr.sk/files/archiv/85/kosice_obchvat_vfm_20210914_final.pdf,analýza,2,1,štúdia uskutočniteľnosti,1.129,Doprava
R3 Tvrdošín – Nižná nad Oravou,1.002,https://www.mfsr.sk/files/archiv/uhp/3370/76/r3_tvrdosin_nizna_vfm_170620_clean.pdf,analýza,3,2,"Grafy a tabuľky, analýza","1.003, 1.004",Doprava
R3 Tvrdošín – Nižná nad Oravou - dodatok k hodnoteniu z júna 2017),1.039,https://www.mfsr.sk/files/archiv/29/r3_tvrdosin_nizna_vfm_poVO_20210324.pdf,analýza,3,2,"Aktualizovaná časť štúdie uskutočniteľnosti, štúdia uskutočniteľnosti","1.038, 1.146",Doprava
R4 štátna hranica PL/SK – Kapušany,1.106,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/doprava/hodnotenie-r4_uhp.pdf,hodnotenie,2,1,štúdia uskutočniteľnosti,1.141,Doprava
"R4, Severný obchvat Prešova",1.005,https://www.mfsr.sk/files/archiv/uhp/3370/76/R4_Presov_VfM_stanovisko_20171220.pdf,analýza,1,0,None,None,Doprava
Reforma súdnej mapy v Bratislave,3.012,https://www.mfsr.sk/files/archiv/95/Hodnotenie_Reforma_sudnej_mapy_BA20230118PDF.pdf,analýza,1,0,None,None,Budovy
Reforma súdnej mapy v Bratislave (aktualizácia pred podpisom zmluvy),3.032,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/budovy/aktualizacia_pred_podpisom_mss_bratislava.pdf,hodnotenie,1,0,None,None,Budovy
Reforma súdnej mapy v Bratislave (aktualizácia),3.03,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/budovy/aktualizacia_mestsky-sud-ba-iii-iv.pdf,hodnotenie,1,0,None,None,Budovy
Rekonštrukcia Fakultnej nemocnice s poliklinikou v Banskej Bystrici,3.003,https://www.mfsr.sk/files/archiv/13/stanovisko_fnsbb_20190128_publish.pdf,analýza,1,0,None,None,Budovy
Rekonštrukcia Nemocnice Poprad,3.016,https://www.mfsr.sk/files/archiv/34/Nemocnica-Poprad_hodnotenie.pdf,analýza,1,0,None,None,Budovy
Rekonštrukcia Nemocnice Poprad (aktualizácia pred podpisom zmluvy),3.025,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/budovy/nemocnica_poprad_hodnotenie-uhp_aktualizacia-pred-podpisom.pdf,analýza,1,0,None,None,Budovy
Rekonštrukcia Nemocnice Poprad (aktualizácia),3.018,https://www.mfsr.sk/files/archiv/65/Aktualizacia_Nemocnica-Poprad.pdf,analýza,1,0,None,None,Budovy
"Rekonštrukcia a dobudovanie fakúlt STU a UK - Advancing University Capacity and Competence in Research, Development and Innovation (ACCORD)",3.004,https://www.mfsr.sk/files/archiv/9/ACCORD_hodnotenie_190910.pdf,analýza,1,0,None,None,Budovy
Rekonštrukcia internátu Hviezda,3.031,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/budovy/hodnotenie_rekonstrukcia_internatu_hviezda.pdf,hodnotenie,2,1,štúdia uskutočniteľnosti,3.041,Budovy
Rekonštrukcia internátu Hviezda (aktualizácia pred podpisom zmluvy),3.033,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia/budovy/hodnotenie_hviezda_aktualizacia_pred_podpisom.pdf,hodnotenie,2,1,štúdia uskutočniteľnosti,3.042,Budovy
Rekonštrukcia kaštieľa v Rusovciach (aktualizácia pred podpisom zmluvy),3.029,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/budovy/hodnotenie_rusovce_aktualizacia_pred_podpisom.pdf,hodnotenie,1,0,None,None,Budovy
Rekonštrukcia leteckej základne Sliač (aktualizácia pred podpisom zmluvy),4.016,https://www.mfsr.sk/files/archiv/28/mo_sliac_aktualizacia_zmluva_20250123.pdf,hodnotenie,2,1,štúdia uskutočniteľnosti,4.025,Obrana
Rekonštrukcia leteckej základne Sliač (aktualizácia),4.015,https://www.mfsr.sk/files/archiv/28/MO_Sliac_aktualizacia_20241004.pdf,hodnotenie,2,1,štúdia uskutočniteľnosti,4.027,Obrana
Rekonštrukcia železničnej trate Veľký Horeš – Streda nad Bodrogom (aktualizácia),1.096,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/doprava/hodnotenie_velky-hores-streda-nad-bodrogom.pdf,analýza,1,0,None,None,Doprava
Rezortný privátny cloud Ministerstva financií SR,2.054,https://www.mfsr.sk/files/archiv/61/Cloud_MF_SR_hodnotenie_UHP_20221003.pdf,analýza,1,0,None,None,Informatizacia
Rozpočtový informačný systém (RIS),2.087,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/it/ris_hodnotenie_uhp.pdf,hodnotenie,2,1,štúdia uskutočniteľnosti,2.107,Informatizacia
Rozvoj Fakultnej nemocnice s poliklinikou F.D. Roosevelta Banská Bystrica,3.008,https://www.mfsr.sk/files/archiv/28/UHP_FNsPBB-hodnotenie_20221005.pdf,analýza,1,0,None,None,Budovy
Rozvoj fakultnej nemocnice Trnava,3.011,https://www.mfsr.sk/files/archiv/92/Hodnotenie_Fakultna-nemocnica-TT_16122022.pdf,analýza,1,0,None,None,Budovy
Rozvoj platformy integrácie údajov a Manažment osobných údajov,2.007,https://www.mfsr.sk/files/archiv/uhp/3370/76/Stanovisko_RozvojCSRU_UHP_20180418.pdf,analýza,1,0,None,None,Informatizacia
Rozšírenie portfólia služieb a inovácia služieb elektronického zdravotníctva,2.033,https://www.mfsr.sk/files/archiv/76/ESO2_UHP_hodnotnie_20190611.pdf,analýza,1,0,None,None,Informatizacia
Rýchlostná cesta R1 - Banská Bystrica – Slovenská Ľupča,1.046,https://www.mfsr.sk/files/archiv/56/doprava_vfm_hodnotenie_20211117.pdf,analýza,2,1,štúdia uskutočniteľnosti,1.142,Doprava
Rýchlostná cesta R2 Kriváň – Tornaľa,1.067,https://www.mfsr.sk/files/archiv/18/Hodnotenie_NDS_R2-Krivan-Tornala_20220727.pdf,analýza,1,0,None,None,Doprava
"Rýchlostná cesta R4 Prešov – severný obchvat, II. etapa",1.043,https://www.mfsr.sk/files/archiv/61/stanovisko_vfm_R4_PO_II_20210827.pdf,analýza,2,1,štúdia uskutočniteľnosti,1.143,Doprava
"Rýchlostná cesta R4 Prešov – severný obchvat, II. etapa (aktualizácia)",1.084,https://www.mfsr.sk/files/archiv/46/Hodnotenie_Aktualizacia_Presov_obchvat_sever_etapa_II_R4.pdf,analýza,1,0,None,None,Doprava
Rýchlostná cesta R8 Nitra – križovatka R2,1.041,https://www.mfsr.sk/files/archiv/44/stanovisko_vfm_R8_20210513.pdf,analýza,2,1,štúdia uskutočniteľnosti,1.13,Doprava
SLA zmluva pre Jednotný informačný systém v cestnej doprave (JISCD),2.101,https://www.mfsr.sk/files/archiv/54/Hodnotenie_JISCD_SLA.pdf,hodnotenie,1,0,None,None,Informatizacia
Sanácia mimoriadnej situácie na ceste II/531 Muráň – Muránska Huta,1.032,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenie-investicnych-projektov/stanovisko_k_projektu_muran_zosuv_2020102.pdf,analýza,1,0,None,None,Doprava
Sanácia prevádzkyschopnosti Národného personalizačného centra,2.059,https://www.mfsr.sk/files/archiv/33/Sanacia_NPC_hodnotenie_UHP_20221111.pdf,analýza,1,0,None,None,Informatizacia
Slovensko v mobile,2.046,https://www.mfsr.sk/files/archiv/83/SvM_UHP_hodnotenie_20210518.pdf,analýza,1,0,None,None,Informatizacia
Služby certifikačnej autority pre FS (PKI služby pre FS) a PKI e-Kasa,2.025,https://www.mfsr.sk/files/archiv/50/PKI_FS_hodnotenie_20190408_1530.pdf,analýza,1,0,None,None,Informatizacia
Smart Green Hospital Prešov,3.014,https://www.mfsr.sk/files/archiv/37/FN-Presov-20230220_hodnotenie.pdf,analýza,1,0,None,None,Budovy
Spravodlivosť: Výstavba väznice v Rimavskej Sobote formou PPP,5.001,https://www.mfsr.sk/files/archiv/uhp/3370/76/vaznica_RS_stanovisko_180111_web.pdf,analýza,3,2,"Prognóza, štúdia uskutočniteľnosti","5.002, 5.003",Ostatne
Stanovisko ÚHP MFSR ku hodnoteniu IT projektov predložených na 6. zasadnutie Riadiaceho výboru PO7 OPII,2.01,https://www.mfsr.sk/files/archiv/uhp/3370/76/Stanovisko-UHP-MFSR-ku-hodnoteniu-IT-projektov.pdf,stanovisko,1,0,None,None,Informatizacia
Stavba úseku R2 Rožňava – Jablonov nad Turňou (tunel Soroška),1.015,https://www.mfsr.sk/files/archiv/42/r2_soroska_hodnotenieMFSR.pdf,analýza,3,2,"Korekcia diaľničných známok, analýza","1.017, 1.02",Doprava
Systém verejného obstarávania,2.024,https://www.mfsr.sk/files/archiv/55/SVO_UHP_hodnotenie_20190220.pdf,analýza,1,0,None,None,Informatizacia
"Sčítanie obyvateľov, domov a bytov 2021",2.029,https://www.mfsr.sk/files/archiv/81/SODB21_UHP_hodnotenie_190509.pdf,analýza,1,0,None,None,Informatizacia
TTR – redizajn procesu tvorby cestovného poriadku pre lepšie využívanie železničnej infraštruktúry,1.091,https://www.mfsr.sk/files/archiv/78/UHP_Hodnotenie-TTR_20230907.pdf,analýza,3,2,"Štúdia implementácie IT, štúdia uskutočniteľnosti","1.127, 1.134",Doprava
TTR – redizajn procesu tvorby cestovného poriadku pre lepšie využívanie železničnej infraštruktúry (aktualizácia),1.097,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/doprava/hodnotenie-ttr-aktualizacia.pdf,analýza,1,0,None,None,Doprava
Viacúčelové vrtuľníky UH-60M Black Hawk pre plnenia úloh síl špeciálneho určenia,4.004,https://www.mfsr.sk/files/archiv/29/Hodnotenie_Black_Hawk_SOF.pdf,analýza,2,1,štúdia uskutočniteľnosti,4.024,Obrana
Vládny cloud – rozšírenie o Komunitný zdravotnícky cloud,2.039,https://www.mfsr.sk/files/archiv/86/ZDE_UHP_hodnotenie_20190701.pdf,analýza,1,0,None,None,Informatizacia
Vnútro: Automatizácia systému odhaľovania porušení pravidiel cestnej premávky,5.008,https://www.mfsr.sk/files/archiv/67/UHP-Hodnotenie_ASOPPCP.pdf,analýza,1,0,None,None,Ostatne
Vnútro: Obmena automobilov hasičskej záchrannej služby kategórie 1B,5.009,https://www.mfsr.sk/files/archiv/9/Hodnotenie_vozidla1B20230428.pdf,analýza,2,1,štúdia uskutočniteľnosti,5.019,Ostatne
"Vybudovanie Centra simulácie, výskumu a výuky kybernetických hrozieb a kybernetickej bezpečnosti",2.036,https://www.mfsr.sk/files/archiv/94/kyberarena_UHP_hodnotenie_20190611.pdf,analýza,1,0,None,None,Informatizacia
Vybudovanie IT platformy lepšej regulácie podľa stratégie RIA 2020,2.08,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/it/vybudovanie_it_platformy_lepsej_regulacie_podla_strategie_ria_2020_hodnotenie_uhp_2024.pdf,hodnotenie,1,0,None,None,Informatizacia
Vybudovanie diaľkovo ovládaného zabezpečovacieho zariadenia na trati Prešov – Strážske,1.079,https://www.mfsr.sk/files/archiv/92/Hodnotenie_DOZZ_Presov_Strazske.pdf,analýza,1,0,None,None,Doprava
Vybudovanie informačného systému na poskytovanie Leteckých informačných služieb (IS LIS),2.053,https://www.mfsr.sk/files/archiv/24/Hodnotenie_UHP_ISLeteckychSluzieb_20220916.pdf,analýza,1,0,None,None,Informatizacia
Vybudovanie infraštruktúry na kontrolu a prípravu vozového parku železničnej osobnej dopravy - Nové Zámky,1.009,https://www.mfsr.sk/files/archiv/92/THU-NZ-ZSSK_hodnotenie_20190128.pdf,analýza,1,0,None,None,Doprava
Vybudovanie nosnej infraštruktúry bezpečného informačno-komunikačného systému FS SR,2.034,https://www.mfsr.sk/files/archiv/35/CyberFS_UHP_hodnotenie_20190611.pdf,analýza,1,0,None,None,Informatizacia
Vybudovanie udržateľného HPC ekosystému na Slovensku,2.066,https://www.mfsr.sk/files/archiv/19/Superpocitac_MIRRI_SR_hodnotenie_UHP.pdf,analýza,1,0,None,None,Informatizacia
Východoslovenský onkologický ústav,3.02,https://www.mfsr.sk/files/archiv/43/VOU_20230719.pdf,analýza,1,0,None,None,Budovy
Výstavba novej univerzitnej nemocnice v Martine,3.005,https://www.mfsr.sk/files/archiv/62/Hodnotenie_UNM_20220225.pdf,analýza,1,0,None,None,Budovy
Výstavba novej univerzitnej nemocnice v Martine (aktualizácia pred podpisom zmluvy),3.027,https://www.mfsr.sk/files/archiv/45/Aktualizacia3_nUNM_20240605.pdf,analýza,2,1,štúdia uskutočniteľnosti,3.044,Budovy
Výstavba novej univerzitnej nemocnice v Martine (aktualizácia č.2),3.022,https://www.mfsr.sk/files/archiv/9/Aktualizacia2_nUNM_UHP_hodnotenie.pdf,analýza,1,0,None,None,Budovy
Výstavba novej univerzitnej nemocnice v Martine (aktualizácia),3.01,https://www.mfsr.sk/files/archiv/41/Aktualizacia_nUNM_20221209.pdf,analýza,2,1,štúdia uskutočniteľnosti,3.043,Budovy
Výstavba novej železničnej trate v úseku Nitra – Trnovec nad Váhom,1.055,https://www.mfsr.sk/files/archiv/20/UHP-hodnotenie-Nitra-Trnovec_20220421.pdf,analýza,2,1,Najčastejšie otázky a odpovede,1.125,Doprava
Výstavba telocviční a školských dvorov na ZŠ (štúdia uskutočniteľnosti),5.006,https://www.mfsr.sk/files/archiv/20/Vystavba-telocvicni-a-skolskych-dvorov-na-ZS_hodnotenie-062022.pdf,analýza,1,0,None,None,Ostatne
Vývoj a konštrukcia superpočítača pre národné superpočítačové centrum (aktualizácia),2.088,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/it/aktualizacia-hodnotenia_superpocitac_sav.pdf,hodnotenie,4,2,"Aktualizovaná štúdia, aktualizácia","2.105, 2.112",Informatizacia
Vývoj a konštrukcia superpočítača pre národné superpočítačové centrum - lokalita Technická univerzita Košice,2.095,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia/informatizacia/aktualizacia-hodnotenia_superpocitac_tuke.pdf,hodnotenie,1,0,None,None,Informatizacia
ZSSK - Vybudovanie strediska technicko-hygienickej údržby v Košiciach,1.102,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/doprava/hodnotenie_thu_kosice.pdf,hodnotenie,2,1,štúdia uskutočniteľnosti,1.147,Doprava
ZSSK - Vybudovanie strediska technicko-hygienickej údržby v Žiline,1.103,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/doprava/hodnotenie_thu_zilina.pdf,hodnotenie,2,1,štúdia uskutočniteľnosti,1.119,Doprava
Zabezpečenie efektívneho používania služieb ESO1 poskytovateľmi zdravotnej starostlivosti na celom území SR (projekt ESO1 – D),2.019,https://www.mfsr.sk/files/archiv/79/ESO1D_UHP_hodnotenie_20181215.pdf,analýza,1,0,None,None,Informatizacia
Zabezpečenie kancelárskych softvérových licencií pre štátnu správu,2.011,https://www.mfsr.sk/files/archiv/36/microsoft_stanovisko_UHP_20190815.pdf,stanovisko,1,0,None,None,Informatizacia
Zabezpečenie výpočtovej technicky na lokalitách v rámci celej SR,2.075,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/it/ikt_ramcova_zmluva_hodnotenie_uhp_20240816.pdf,hodnotenie,1,0,None,None,Informatizacia
Zabezpečenie výpočtovej techniky na lokalitách v rámci celej SR (aktualizácia),2.093,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia/informatizacia/ikt_ramcova_zmluva_aktualizacia_uhp.pdf,hodnotenie,2,1,Doplnenie hodnotenia,2.096,Informatizacia
Zavedenie služieb Platform as a Service,2.009,https://www.mfsr.sk/files/archiv/uhp/3370/76/Stanovisko_PaaS_UHP_180418.pdf,analýza,1,0,None,None,Informatizacia
Zefektívnenie štátneho dozoru v starostlivosti o životné prostredie,2.02,https://www.mfsr.sk/files/archiv/34/SIZP_UHP_hodnotenie_20190215.pdf,analýza,1,0,None,None,Informatizacia
"Zjednotenie priestorov Ministerstva investícií, regionálneho rozvoja a informatizácie Slovenskej republiky",3.007,https://www.mfsr.sk/files/archiv/44/Hodnotenie-MIRRI_210908_clean.pdf,analýza,1,0,None,None,Budovy
Zmluva na prevádzku a rozvoj systému Portál finančnej správy (PFS),2.043,https://www.mfsr.sk/files/archiv/65/pfs_sla_hodnotenie_20200316.pdf,analýza,2,1,štúdia uskutočniteľnosti,2.109,Informatizacia
Zmluva na prevádzku a rozvoj systému Rozpočtový informačný systém (RIS),2.041,https://www.mfsr.sk/files/archiv/71/RIS_SLA_hodnotenie_20191206.pdf,analýza,1,0,None,None,Informatizacia
