Sector,Project Name,Type,URL,Date,File Size
Informatizacia,Centrálny ekonomický systém – dodatok č. 3 (aktualizácia),hodnotenie,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/it/aktualizacia_hodnotenia_ces.pdf,27.9.2024,198 kB
Informatizacia,Zvýšenie kybernetickej bezpečnosti samospráv do 6 000 obyvateľov,hodnotenie,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/it/hodnotenie_uhp_dcom.pdf,13.9.2024,274 kB
Informatizacia,Vybudovanie IT platformy lepšej regulácie podľa stratégie RIA 2020,hodnotenie,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/it/vybudovanie_it_platformy_lepsej_regulacie_podla_strategie_ria_2020_hodnotenie_uhp_2024.pdf,13.9.2024,217 kB
Informatizacia,Obnova desktopových licencií pre kapitolu Ministerstva vnútra Slovenskej republiky,hodnotenie,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/it/hodnotenie_uhp_mv_msft.pdf,11.9.2024,163 kB
Informatizacia,Obnova desktopových licencií pre kapitolu Ministerstva financií Slovenskej republiky,hodnotenie,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/it/hodnotenie_uhp_mf_licencie.pdf,5.9.2024,160 kB
Informatizacia,Modernizácia infraštruktúry pre kľúčové interné systémy MV SR – Etapa 2,hodnotenie,https://www.mfsr.sk/files/archiv/19/Hodnotenie_UHP_DC_MV_20240823.pdf,2.9.2024,210 kB
Informatizacia,eSKa Cloud (aktualizácia),hodnotenie,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/it/aktualizacia_hodnotenia_eska-cloud_mirri.pdf,19.8.2024,172 kB
Informatizacia,Zabezpečenie výpočtovej technicky na lokalitách v rámci celej SR,hodnotenie,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/it/ikt_ramcova_zmluva_hodnotenie_uhp_20240816.pdf,16.8.2024,178 kB
Informatizacia,"Pokračovanie obstarávania licencií pre operačný systém, kancelársky balík a prístup používateľov na server na ďalšie obdobie",hodnotenie,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/it/dns_microsoft_hodnotenie_uhp.pdf,17.7.2024,200 kB
Informatizacia,"Pokračovanie obstarávania licencií pre operačný systém, kancelársky balík a prístup používateľov na server na ďalšie obdobie",štúdia uskutočniteľnosti,https://mirri.gov.sk/wp-content/uploads/2021/06/PZ_MS_DNS_Pokracovanie_2024-2027.pdf,,
Informatizacia,Národný integrovaný cestovný lístok,hodnotenie,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/it/narodny_cestovny_listok_hodnotenie_uhp_final.pdf,11.7.2024,228 kB
Informatizacia,Komplexné riešenie výrobných liniek dokladov občanov a cudzincov,hodnotenie,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/it/nova_lokalita_npc_hodnotenie_uhp.pdf,21.6.2024,191 kB
Informatizacia,Vývoj a konštrukcia superpočítača pre národné superpočítačové centrum (aktualizácia),analýza,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/it/aktualizacia_hodnotenia_superpocitac_sav.pdf,21.3.2024,166 kB
Informatizacia,Vývoj a konštrukcia superpočítača pre národné superpočítačové centrum (aktualizácia),,https://csc.sav.sk/wp-content/uploads/Formular_priloha_zverejnenie.pdf,,
