Project Name,Type,URL,Date,File Size
Doprava,,https://www.zsr.sk/files/modernizacia-trati/studie-realizovatelnosti/projekt-ttr/ttr-implementacia-it/su-ttr-implementacia-it-nastrojov.pdf,,"4,8 MB"
Doprava,analýza,https://www.mfsr.sk/files/archiv/23/Hodnotenie-pred-podpisom-NDS-D1-Technologia-tunela-Visnove.pdf,4.9.2023,399 kB
Doprava,analýza,https://www.mfsr.sk/files/archiv/61/Hodnotenie_BB_SL_R1_akt_pred-podpisom.pdf,25.8.2023,414 kB
Doprava,analýza,https://www.mfsr.sk/files/archiv/78/Hodnotenie_UHP_Trencin_prelozka.pdf,17.8.2023,423 kB
Doprava,analýza,https://www.mfsr.sk/files/archiv/30/Hodnotenie_D3_III-etapa_KNM_Oscadnica.pdf,27.7.2023,543 kB
Doprava,analýza,https://www.mfsr.sk/files/archiv/40/Hodnotenie_UHP_Poprad-Tatry-Vydrnik.pdf,30.6.2023,433 kB
Doprava,analýza,https://www.mfsr.sk/files/archiv/44/Hodnotenie-ZSSK-lozkove-vozne_UHP.pdf,24.6.2023,728 kB
Doprava,,https://www.zssk.sk/wp-content/uploads/2023/05/Studia-uskutocnitelnosti-obnovy-vozidloveho-parku.pdf,,
Doprava,analýza,https://www.mfsr.sk/files/archiv/46/Hodnotenie_Aktualizacia_Presov_obchvat_sever_etapa_II_R4.pdf,22.6.2023,410 kB
Doprava,analýza,https://www.mfsr.sk/files/archiv/4/UHP_hodnotenie_D3-Oscadnica-Cadca-Bukov-II.pdf,16.6.2023,446 kB
Doprava,analýza,https://www.mfsr.sk/files/archiv/18/Rekonstrukcia-Hronsky-Benadik-Nova-Bana_aktualizacia-pred-VO.pdf,9.6.2023,398 kB
Doprava,,https://www.zsr.sk/files/modernizacia-trati/studie-realizovatelnosti/sr-kr-hronsky-benadik-nova-bana/priloha-6-komplexna-rekonstrukcia-hronsky-benadik-nova-bana.pdf,,
Doprava,analýza,https://www.mfsr.sk/files/archiv/17/Hodnotenie_D4_tunel-Karpaty_20230420.pdf,2.5.2023,308 kB
Doprava,analýza,https://www.mfsr.sk/files/archiv/29/Hodnotenie_ELBAHU_20230419.pdf,21.4.2023,423 kB
Doprava,analýza,https://www.mfsr.sk/files/archiv/92/Hodnotenie_DOZZ_Presov_Strazske.pdf,19.4.2023,613 kB
Doprava,analýza,https://www.mfsr.sk/files/archiv/63/Hodnotenie_D3_etapa1.pdf,24.3.2023,474 kB
Doprava,analýza,https://www.mfsr.sk/files/archiv/52/R1-BB-Slovenska-Lupca_Aktualizacia_20230302.pdf,2.3.2023,399 kB
Doprava,analýza,https://www.mfsr.sk/files/archiv/19/Hodnotenie_GSM-R_Varin-KE-CnT_20230301.pdf,1.3.2023,404 kB
Doprava,,http://www.zsr.sk/files/modernizacia-trati/za-ke-cnt/gsm-r/gsm-r-informacia.pdf,,671 kB
Doprava,analýza,https://www.mfsr.sk/files/archiv/16/Hodnotenie-ZSSK-26-DMJ_20230224.pdf,24.2.2023,654 kB
Doprava,analýza,https://www.mfsr.sk/files/archiv/40/SSC_prelozka_I61_Trencin_20230210.pdf,10.2.2023,655 kB
Doprava,analýza,https://www.mfsr.sk/files/archiv/75/Hodnotenie-ZSSK-5-EJ_20221207.pdf,7.12.2022,451 kB
Doprava,analýza,https://www.mfsr.sk/files/archiv/4/hodnotenie_vfm_D1_Triblavina_20221121.pdf,24.11.2022,114 kB
Doprava,analýza,https://www.mfsr.sk/files/archiv/43/Hodnotenie_ChPs_20221123.pdf,23.11.2022,678 kB
Doprava,analýza,https://www.mfsr.sk/files/archiv/63/Hodnotenie_uzol-BA_20221103.pdf,3.11.2022,"1,52 MB"
Doprava,analýza,https://www.mfsr.sk/files/archiv/35/Hodnotenie_Hronsky-Benadik_Nova-Bana-20220922.pdf,23.9.2022,542 kB
Doprava,,https://www.mfsr.sk/files/archiv/29/SR-KR-Hronsky-Benadik-Nova-Bana.pdf,,"1,93 MB"
Doprava,analýza,https://www.mfsr.sk/files/archiv/82/Hodnotenie-UHP_DNV_Marchegg_20220916.pdf,16.9.2022,431 kB
Doprava,analýza,https://www.mfsr.sk/files/archiv/18/Hodnotenie_NDS_R2-Krivan-Tornala_20220727.pdf,27.7.2022,311 kB
Doprava,analýza,https://www.mfsr.sk/files/archiv/88/Hodnotenie_Poprad_Markusovce_20220719.pdf,21.7.2022,404 kB
Doprava,analýza,https://www.mfsr.sk/files/archiv/12/Hodnotenie_Elektrifikacia-BAHU_20220713.pdf,13.7.2022,583 kB
Doprava,analýza,https://www.mfsr.sk/files/archiv/84/hodnotenie_mytnesluzby_07072022.pdf,7.7.2022,442 kB
Doprava,analýza,https://www.mfsr.sk/files/archiv/33/ZilinaKosiceCnT_20220706.pdf,6.7.2022,689 kB
Doprava,,https://www.mfsr.sk/files/archiv/58/FAQs_Trat-ZA-KE-CnT.pdf,,297 kB
Doprava,analýza,https://www.mfsr.sk/files/archiv/69/Hodnotenie_vfm_NDS_D3_20220622.pdf,22.6.2022,591 kB
Doprava,analýza,https://www.mfsr.sk/files/archiv/47/Hodnotenie_NDS_R2_Zvolen_20220622.pdf,22.6.2022,778 kB
