Sector,Project Name,Type,URL,Date,File Size,Document_ID
Ostatne,Obmena hasičských cisternových striekačiek CAS 30,hodnotenie,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia/ostatne/hodnotenie_hasicskych_striekaciek.pdf,15.8.2025,436 kB,5.014
Ostatne,Obmena hasičských cisternových striekačiek CAS 30,štúdia uskutočniteľnosti,https://www.minv.sk/swift_data/source/hasici_a_zachranari/gegussova/odovodnenie_investicie/studia%20uskutocnitelnosti%20CAS30%20v2.pdf,,"1,2 MB",5.015
Ostatne,Plán rozvoja Leteckého útvaru MV SR pre oblasť vrtuľníkovej techniky,hodnotenie,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia/ostatne/hodnotenie_plan-rozvoja-leteckeho-utvaru-mvsr-vyhladom-do-roku-2031-oblast-vrtulnikove.pdf,10.7.2025,198 kB,5.013
Ostatne,Plán rozvoja Leteckého útvaru MV SR pre oblasť vrtuľníkovej techniky,štúdia uskutočniteľnosti,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia/ostatne/studia_heli_nakup_2025.pdf,,784 kB,5.016
Ostatne,"Koncepčný plán obnovy osobných automobilov do 3,5 t Ministerstva obrany Slovenskej republiky na roky 2024 - 2027",hodnotenie,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/ostatne/koncepcny-plan-obnovy-osobnych-automobilov-mo-sr-final1.pdf,12.6.2024,245 kB,5.012
Ostatne,Zvýšenie majetkovej účasti štátu v Exportno-importnej banke Slovenskej republiky,hodnotenie,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/ostatne/hodnotenie_zvysenie-majetkovej-ucasti-statu-exportno-importnej-banke-slovenskej-republiky.pdf,11.6.2024,204 kB,5.011
Ostatne,Zvýšenie majetkovej účasti štátu v Exportno-importnej banke Slovenskej republiky,štúdia uskutočniteľnosti,https://www.mfsr.sk/files/archiv/91/Studia_uskutocnitelnosti_investicie_zvysenie-majetkovej_ucasti_statu_v_EXIMBANKE_SR.pdf,,999 kB,5.017
Ostatne,Nákup hasičských automobilov s plošinami,hodnotenie,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/ostatne/nakup-hasicskych-automobilov-plosinami_hodnotenie-uhp.pdf,31.5.2024,363 kB,5.010
Ostatne,Hospodárstvo: ŠURANY INDUSTRIAL PARK,analýza,https://www.mfsr.sk/files/archiv/10/Hodnotenie_PP-Surany_20240528.pdf,28.5.2024,,5.009
Ostatne,Vnútro: Obmena automobilov hasičskej záchrannej služby kategórie 1B,analýza,https://www.mfsr.sk/files/archiv/9/Hodnotenie_vozidla1B20230428.pdf,28.4.2023,247 kB,5.008
Ostatne,Vnútro: Obmena automobilov hasičskej záchrannej služby kategórie 1B,štúdia uskutočniteľnosti,https://www.minv.sk/swift_data/source/hasici_a_zachranari/krizanova_foto/rok_2023/marec_2023/odovodnenie_investicie_obmena_automobilov_hasicskej_zachrannej_sluzby_kategorie_1b_studia_uskutocnitelnosti/studia uskutocnitelnosti_AHZS 1B_v9.pdf,,,5.018
Ostatne,Vnútro: Automatizácia systému odhaľovania porušení pravidiel cestnej premávky,analýza,https://www.mfsr.sk/files/archiv/67/UHP-Hodnotenie_ASOPPCP.pdf,5.4.2023,316 kB,5.007
Ostatne,Hospodárstvo: Rozvoj strategického územia Valaliky (aktualizácia),analýza,https://www.mfsr.sk/files/archiv/16/Hodnotenie_Rozvoj-strategickeho-uzemia-Valaliky_20230130.pdf,30.1.2023,509 kB,5.006
Ostatne,Výstavba telocviční a školských dvorov na ZŠ (štúdia uskutočniteľnosti),analýza,https://www.mfsr.sk/files/archiv/20/Vystavba-telocvicni-a-skolskych-dvorov-na-ZS_hodnotenie-062022.pdf,3.6.2022,405 kB,5.005
Ostatne,Národné kultúrne a kongresové centrum,analýza,https://www.mfsr.sk/files/archiv/29/Hodnotenie_NKKC_211214.pdf,15.12.2021,408 kB,5.004
Ostatne,Hospodárstvo: Priemyselný park Valaliky,analýza,https://www.mfsr.sk/files/archiv/24/Hodnotenie_Valaliky_211008.pdf,08.10.2021,328 kB,5.003
Ostatne,Spravodlivosť: Výstavba väznice v Rimavskej Sobote formou PPP,analýza,https://www.mfsr.sk/files/archiv/uhp/3370/76/vaznica_RS_stanovisko_180111_web.pdf,11.1.2018,313 kB,5.001
Ostatne,Spravodlivosť: Výstavba väznice v Rimavskej Sobote formou PPP,štúdia uskutočniteľnosti,http://www.zvjs.sk/dokumenty/GRZVJS-aktualizacia_studie_usk_.pdf,11.1.2018,"12,9 MB",5.002
Obrana,Rekonštrukcia leteckej základne Sliač (aktualizácia pred podpisom zmluvy),hodnotenie,https://www.mfsr.sk/files/archiv/28/mo_sliac_aktualizacia_zmluva_20250123.pdf,23.1.2025,140 kB,4.015
Obrana,Rekonštrukcia leteckej základne Sliač (aktualizácia pred podpisom zmluvy),štúdia uskutočniteľnosti,https://www.mosr.sk/data/files/5761_priloha-7-formular-na-aktualizaciu-studie-uskutocnitelnosti-pred-vytvorenim-zavazku-podpisom-zmluvy-final.pdf,,,4.024
Obrana,Rekonštrukcia leteckej základne Sliač (aktualizácia),hodnotenie,https://www.mfsr.sk/files/archiv/28/MO_Sliac_aktualizacia_20241004.pdf,4.10.2024,165 kB,4.014
