Sector,Project Name,Type,URL,Date,File Size
Budovy,Výstavba novej univerzitnej nemocnice v Martine (aktualizácia),štúdia uskutočniteľnosti,https://www.unm.sk/sites/default/files/unm-sv-martin/formular_na_aktualizaciu_studie_uskutocnitelnosti_unsvm.pdf,,
Budovy,Komplexná rekonštrukcia historickej budovy Slovenského národného divadla,analýza,https://www.mfsr.sk/files/archiv/91/Hodnotenie_SND_FINAL.pdf,7.11.2022,544 kB
Budovy,Komplexná rekonštrukcia historickej budovy Slovenského národného divadla,štúdia uskutočniteľnosti,https://snd.sk/sites/default/files/HB/studia_uskutocnitelnosti_komplexnej_rekonstrukcie_hb_snd.pdf,,
Budovy,Rozvoj Fakultnej nemocnice s poliklinikou F.D. Roosevelta Banská Bystrica,analýza,https://www.mfsr.sk/files/archiv/28/UHP_FNsPBB-hodnotenie_20221005.pdf,7.10.2022,449 kB
Budovy,"Zjednotenie priestorov Ministerstva investícií, regionálneho rozvoja a informatizácie Slovenskej republiky",analýza,https://www.mfsr.sk/files/archiv/44/Hodnotenie-MIRRI_210908_clean.pdf,9.8.2022,236 kB
Budovy,Administratívna budova Úradu vlády Slovenskej republiky „Čajka“,analýza,https://www.mfsr.sk/files/archiv/66/Hodnotenie_Cajka20220728_PDF.pdf,28.7.2022,653 kB
Budovy,Výstavba novej univerzitnej nemocnice v Martine,analýza,https://www.mfsr.sk/files/archiv/62/Hodnotenie_UNM_20220225.pdf,25.2.2022,378 kB
Budovy,Úrad vlády SR - Rekonštrukcia kaštieľa v Rusovciach (Aktualizované hodnotenie),,https://www.mfsr.sk/files/archiv/46/rusovce_stanovisko_UHP_20200109c.pdf,,
Budovy,"Rekonštrukcia a dobudovanie fakúlt STU a UK - Advancing University Capacity and Competence in Research, Development and Innovation (ACCORD)",analýza,https://www.mfsr.sk/files/archiv/9/ACCORD_hodnotenie_190910.pdf,10.9.2019,376 kB
Budovy,Rekonštrukcia Fakultnej nemocnice s poliklinikou v Banskej Bystrici,analýza,https://www.mfsr.sk/files/archiv/13/stanovisko_fnsbb_20190128_publish.pdf,28.1.2019,264 kB
Budovy,Úrad vlády SR - Rekonštrukcia kaštieľa v Rusovciach,,https://www.mfsr.sk/files/archiv/uhp/3370/76/Stanovisko-Rekonstrukcia-kastiela-Rusovciach.pdf,,
Budovy,Nová univerzitná nemocnica v Bratislave,analýza,https://www.mfsr.sk/files/archiv/uhp/3370/76/stanovisko_UNB_170403_2.pdf,03.04.2017,668 kB
